codigo,anno,coca_ha
18753,2021,84.6
18756,2021,713.3
18785,2021,8.5
18860,2021,175.2
19022,2021,0.0
19050,2021,2850.0
19075,2021,561.5
19100,2021,194.9
19110,2021,930.4
19130,2021,325.6
19137,2021,66.1
19142,2021,8.1
19212,2021,11.3
19256,2021,8737.4
19290,2021,0.0
19318,2021,1825.2
19364,2021,60.5
19392,2021,0.0
19397,2021,0.0
19418,2021,1774.6
19450,2021,45.5
19455,2021,38.5
19473,2021,648.8
19532,2021,865.9
19533,2021,1550.1
19548,2021,8.6
19622,2021,10.9
19701,2021,0.0
19698,2021,356.1
19760,2021,0.0
19780,2021,804.7
19785,2021,46.2
19807,2021,0.0
19809,2021,3376.1
19821,2021,2.4
20178,2021,0.0
20310,2021,9.3
20517,2021,0.0
20710,2021,0.0
20770,2021,1.3
27006,2021,1.3
27025,2021,115.8
27050,2021,0.0
27075,2021,0.0
27077,2021,91.5
27099,2021,0.0
27150,2021,778.9
27205,2021,20.9
27135,2021,19.2
27250,2021,63.5
27361,2021,462.8
27372,2021,0.0
27413,2021,13.5
27425,2021,0.0
27430,2021,161.5
27450,2021,249.0
27491,2021,143.7
27495,2021,0.0
27001,2021,26.1
27580,2021,26.3
27600,2021,10.5
27615,2021,1036.1
27660,2021,1040.4
27745,2021,382.1
27787,2021,0.0
27800,2021,417.5
27810,2021,0.0
23350,2021,0.0
23466,2021,1143.3
23580,2021,1374.3
23682,2021,575.8
23807,2021,2379.5
23855,2021,7.7
25148,2021,0.0
25518,2021,0.0
25823,2021,0.0
25885,2021,0.0
94343,2021,0.0
94001,2021,0.0
94663,2021,0.0
94888,2021,48.7
94887,2021,0.0
94884,2021,0.0
95015,2021,202.6
95025,2021,1648.8
95200,2021,1297.3
95001,2021,1286.6
44090,2021,0.0
44001,2021,0.0
47053,2021,0.0
47189,2021,0.0
47288,2021,0.0
47001,2021,2.5
50350,2021,73.8
50400,2021,0.0
50325,2021,284.6
50330,2021,0.0
50450,2021,14.2
50568,2021,0.0
50577,2021,0.0
50573,2021,0.0
50590,2021,746.0
50683,2021,15.7
50689,2021,0.0
50370,2021,0.0
50711,2021,505.6
52036,2021,56.1
52079,2021,3463.2
52110,2021,0.0
52207,2021,0.0
52210,2021,0.0
52215,2021,0.0
52227,2021,0.0
52233,2021,1387.8
52250,2021,8952.4
52254,2021,79.4
52256,2021,1576.8
52260,2021,115.6
52520,2021,501.5
52356,2021,1282.1
52381,2021,40.9
52385,2021,142.4
52390,2021,661.2
52405,2021,642.5
52411,2021,568.6
52418,2021,446.1
52427,2021,3363.2
52435,2021,20.8
52473,2021,474.1
52490,2021,6040.6
52540,2021,1471.9
52573,2021,0.0
52612,2021,839.1
52621,2021,3059.4
52678,2021,773.9
52693,2021,0.0
52683,2021,22.6
52696,2021,1595.1
52699,2021,829.9
52835,2021,18109.1
54003,2021,88.8
54109,2021,4.9
54128,2021,0.0
54206,2021,2004.5
54001,2021,478.9
54245,2021,887.6
54250,2021,6248.1
54261,2021,220.2
54344,2021,531.9
54385,2021,4.7
54398,2021,26.0
54418,2021,0.0
54498,2021,24.2
54670,2021,965.9
54720,2021,5135.0
54800,2021,3714.9
54810,2021,22229.6
86001,2021,45.0
86320,2021,4421.9
86568,2021,7469.9
86569,2021,2727.8
86571,2021,1457.5
86573,2021,1924.4
86757,2021,4106.2
86760,2021,0.0
86865,2021,4694.4
86885,2021,1358.2
68020,2021,0.0
68092,2021,0.0
68101,2021,3.0
68176,2021,0.0
68190,2021,4.7
68209,2021,0.0
68211,2021,0.0
68235,2021,0.0
68250,2021,0.0
68255,2021,0.0
68271,2021,0.0
68322,2021,0.0
68324,2021,0.0
68377,2021,0.0
68397,2021,0.0
68385,2021,0.0
68524,2021,0.0
68573,2021,0.0
68615,2021,0.0
68655,2021,0.0
68689,2021,0.0
68720,2021,2.4
68745,2021,0.0
68755,2021,0.0
68773,2021,0.0
68861,2021,0.0
76100,2021,77.4
76109,2021,1273.7
76001,2021,0.0
76126,2021,45.1
76233,2021,33.9
76364,2021,1159.5
76834,2021,0.0
97161,2021,28.8
97001,2021,0.0
97511,2021,0.0
97777,2021,0.0
97666,2021,0.0
97889,2021,0.0
99773,2021,310.8
99524,2021,0.0
99624,2021,0.0
